device: cuda:0
AX-MADDPG
=============================
=1 Env resilient path planning is right ...
=============================
=2 The 24 agents are inited ...
=============================
=3 starting iterations ...
=============================
=4 init tensorboards ...
=================================
[2025-07-03 15:46:49.945] episode_gone: 3, rew_n: 0.0, rew_n_avg_queue_delta: 0.31470927596092224, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 3.2552083695236433e-08
[2025-07-03 15:46:57.248] episode_gone: 3, rew_n: 0.0, rew_n_avg_queue_delta: 0.4059150218963623, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.2207030941624453e-08
[2025-07-03 15:46:59.882] =============> episode_gone: 3, rew_n: 1033.916660308838, rew_n_avg_queue_delta: 0.4018888771533966, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.2207030941624453e-08
[2025-07-03 15:47:04.178] episode_gone: 3, rew_n: 0.0, rew_n_avg_queue_delta: 0.48930010199546814, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.6276041847618217e-08
[2025-07-03 15:47:10.819] episode_gone: 3, rew_n: 0.0, rew_n_avg_queue_delta: 0.4706787168979645, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.2207030941624453e-08
[2025-07-03 15:47:17.683] episode_gone: 3, rew_n: 0.0, rew_n_avg_queue_delta: 0.3902829587459564, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.4414061883248905e-08
[2025-07-03 15:47:26.657] episode_gone: 3, rew_n: 0.0, rew_n_avg_queue_delta: 0.3499617278575897, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.034505008907672e-08
[2025-07-03 15:47:35.055] episode_gone: 3, rew_n: 0.0, rew_n_avg_queue_delta: 0.4026128351688385, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.6276041847618217e-08
[2025-07-03 15:47:43.760] episode_gone: 3, rew_n: 0.0, rew_n_avg_queue_delta: 0.3638352155685425, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.848307190106425e-08
[2025-07-03 15:47:49.909] =============> episode_gone: 3, rew_n: 1022.7283382415771, rew_n_avg_queue_delta: 0.37117958068847656, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.2207030941624453e-08
[2025-07-03 15:47:52.895] episode_gone: 3, rew_n: 0.0, rew_n_avg_queue_delta: 0.5621024370193481, rew_n_avg_satisfaction: 8.423430841730806e-09, rew_n_power_penalty: 1.6276041847618217e-08
[2025-07-03 15:48:01.416] episode_gone: 3, rew_n: 0.0, rew_n_avg_queue_delta: 0.4801349341869354, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.034505008907672e-08
[2025-07-03 15:48:08.537] episode_gone: 3, rew_n: 0.0, rew_n_avg_queue_delta: 0.42788389325141907, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 3.662109193669494e-08
[2025-07-03 15:48:16.794] episode_gone: 3, rew_n: 0.0, rew_n_avg_queue_delta: 0.48668769001960754, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.034505008907672e-08
[2025-07-03 15:48:22.853] episode_gone: 3, rew_n: 0.0, rew_n_avg_queue_delta: 0.410157710313797, rew_n_avg_satisfaction: 1.5108678752540072e-08, rew_n_power_penalty: 4.069010461904554e-09
[2025-07-03 15:48:29.534] episode_gone: 3, rew_n: 0.0, rew_n_avg_queue_delta: 0.4279322326183319, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 8.138020923809108e-09
[2025-07-03 15:48:35.457] =============> episode_gone: 3, rew_n: 1027.0211143493652, rew_n_avg_queue_delta: 0.42047134041786194, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.2207030941624453e-08
[2025-07-03 15:48:35.922] episode_gone: 4, rew_n: 0.0, rew_n_avg_queue_delta: 0.8057263493537903, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.848307190106425e-08
[2025-07-03 15:48:43.098] episode_gone: 4, rew_n: 0.0, rew_n_avg_queue_delta: 0.5184228420257568, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.034505008907672e-08
[2025-07-03 15:48:51.378] episode_gone: 4, rew_n: 0.0, rew_n_avg_queue_delta: 0.37364277243614197, rew_n_avg_satisfaction: 1.7528009044198711e-09, rew_n_power_penalty: 1.6276041847618217e-08
[2025-07-03 15:48:57.501] episode_gone: 4, rew_n: 0.0, rew_n_avg_queue_delta: 0.3899723291397095, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.6276041847618217e-08
[2025-07-03 15:49:03.678] episode_gone: 4, rew_n: 0.0, rew_n_avg_queue_delta: 0.4680027961730957, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.034505008907672e-08
[2025-07-03 15:49:09.834] episode_gone: 4, rew_n: 0.0, rew_n_avg_queue_delta: 0.34741663932800293, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 8.138020923809108e-09
[2025-07-03 15:49:18.037] episode_gone: 4, rew_n: 0.0, rew_n_avg_queue_delta: 0.41503605246543884, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 3.2552083695236433e-08
[2025-07-03 15:49:19.273] =============> episode_gone: 4, rew_n: 1091.108512878418, rew_n_avg_queue_delta: 0.3894387185573578, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.034505008907672e-08
[2025-07-03 15:49:24.466] episode_gone: 4, rew_n: 0.0, rew_n_avg_queue_delta: 0.45417889952659607, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.2207030941624453e-08
[2025-07-03 15:49:30.606] episode_gone: 4, rew_n: 0.0, rew_n_avg_queue_delta: 0.33241984248161316, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.4414061883248905e-08
[2025-07-03 15:49:37.038] episode_gone: 4, rew_n: 0.0, rew_n_avg_queue_delta: 0.4215376377105713, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.034505008907672e-08
[2025-07-03 15:49:43.214] episode_gone: 4, rew_n: 0.0, rew_n_avg_queue_delta: 0.3416297137737274, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.6276041847618217e-08
[2025-07-03 15:49:49.383] episode_gone: 4, rew_n: 0.0, rew_n_avg_queue_delta: 0.3367604911327362, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.848307190106425e-08
[2025-07-03 15:49:55.577] episode_gone: 4, rew_n: 0.0, rew_n_avg_queue_delta: 0.37749144434928894, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 3.2552083695236433e-08
[2025-07-03 15:49:58.662] =============> episode_gone: 4, rew_n: 1046.1443367004395, rew_n_avg_queue_delta: 0.3907276690006256, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 4.069010017815344e-08
[2025-07-03 15:50:02.556] episode_gone: 4, rew_n: 0.0, rew_n_avg_queue_delta: 0.41451701521873474, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 3.662109193669494e-08
